PING 10.0.0.6 (10.0.0.6) 1432(1460) bytes of data.
1440 bytes from 10.0.0.6: icmp_seq=2 ttl=64 time=186 ms
1440 bytes from 10.0.0.6: icmp_seq=4 ttl=64 time=188 ms
1440 bytes from 10.0.0.6: icmp_seq=7 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=9 ttl=64 time=183 ms
1440 bytes from 10.0.0.6: icmp_seq=11 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=13 ttl=64 time=186 ms
1440 bytes from 10.0.0.6: icmp_seq=14 ttl=64 time=190 ms
1440 bytes from 10.0.0.6: icmp_seq=15 ttl=64 time=190 ms
1440 bytes from 10.0.0.6: icmp_seq=16 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=18 ttl=64 time=183 ms
1440 bytes from 10.0.0.6: icmp_seq=19 ttl=64 time=183 ms
1440 bytes from 10.0.0.6: icmp_seq=21 ttl=64 time=183 ms
1440 bytes from 10.0.0.6: icmp_seq=22 ttl=64 time=181 ms
1440 bytes from 10.0.0.6: icmp_seq=23 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=27 ttl=64 time=183 ms
1440 bytes from 10.0.0.6: icmp_seq=29 ttl=64 time=182 ms
1440 bytes from 10.0.0.6: icmp_seq=30 ttl=64 time=182 ms
