PING 10.0.0.5 (10.0.0.5) 1432(1460) bytes of data.
1440 bytes from 10.0.0.5: icmp_seq=5 ttl=64 time=184 ms
1440 bytes from 10.0.0.5: icmp_seq=8 ttl=64 time=183 ms
1440 bytes from 10.0.0.5: icmp_seq=11 ttl=64 time=196 ms
1440 bytes from 10.0.0.5: icmp_seq=16 ttl=64 time=184 ms
1440 bytes from 10.0.0.5: icmp_seq=17 ttl=64 time=197 ms
1440 bytes from 10.0.0.5: icmp_seq=19 ttl=64 time=182 ms
1440 bytes from 10.0.0.5: icmp_seq=20 ttl=64 time=192 ms
1440 bytes from 10.0.0.5: icmp_seq=22 ttl=64 time=185 ms
1440 bytes from 10.0.0.5: icmp_seq=24 ttl=64 time=184 ms
1440 bytes from 10.0.0.5: icmp_seq=26 ttl=64 time=189 ms
1440 bytes from 10.0.0.5: icmp_seq=30 ttl=64 time=185 ms
